name,p,q,trusted,untrusted,irbl,irblc,mixed,glc,symetric,total
ad,0.02,1.0,0.2835365853658537,0.021341463414634165,0.04268292682926844,0.028963414634146423,0.021341463414634165,0.02591463414634143,0.041158536585365835,0.024390243902439046
ad,0.02,0.9,0.30335365853658536,0.03201219512195119,0.08536585365853655,0.03963414634146345,0.024390243902439046,0.02286585365853655,0.044207317073170826,0.024390243902439046
ad,0.02,0.8,0.31707317073170727,0.03963414634146345,0.19054878048780488,0.038109756097560954,0.03353658536585358,0.030487804878048808,0.04878048780487798,0.024390243902439046
ad,0.02,0.7,0.3414634146341463,0.050304878048780366,0.19512195121951215,0.04878048780487798,0.038109756097560954,0.02591463414634143,0.047256097560975596,0.024390243902439046
ad,0.02,0.6,0.3246951219512195,0.06859756097560976,0.24390243902439024,0.060975609756097615,0.06707317073170715,0.06707317073170715,0.07469512195121963,0.024390243902439046
ad,0.02,0.5,0.33231707317073167,0.12804878048780488,0.25914634146341464,0.06402439024390238,0.10518292682926833,0.07926829268292679,0.09146341463414642,0.024390243902439046
ad,0.02,0.4,0.29268292682926833,0.12957317073170727,0.41615853658536583,0.08231707317073156,0.12042682926829273,0.1737804878048781,0.11128048780487809,0.024390243902439046
ad,0.02,0.3,0.3246951219512195,0.2042682926829268,0.14481707317073167,0.10823170731707321,0.2027439024390244,0.13567073170731714,0.16158536585365857,0.024390243902439046
ad,0.02,0.2,0.3003048780487805,0.24542682926829273,0.2682926829268293,0.08841463414634143,0.23932926829268286,0.25457317073170727,0.20884146341463417,0.024390243902439046
ad,0.02,0.1,0.29268292682926833,0.30487804878048785,0.2682926829268293,0.11128048780487809,0.2972560975609756,0.3399390243902439,0.25,0.024390243902439046
ad,0.02,0.0,0.33384146341463417,0.43140243902439024,0.2972560975609756,0.15243902439024393,0.41768292682926833,0.33689024390243894,0.42835365853658536,0.024390243902439046
ad,0.05,1.0,0.2195121951219512,0.027439024390244038,0.03963414634146345,0.03201219512195119,0.024390243902439046,0.028963414634146423,0.044207317073170826,0.024390243902439046
ad,0.05,0.9,0.24695121951219512,0.028963414634146423,0.10823170731707321,0.041158536585365835,0.030487804878048808,0.03353658536585358,0.04268292682926844,0.024390243902439046
ad,0.05,0.8,0.24085365853658536,0.03506097560975596,0.125,0.041158536585365835,0.03506097560975596,0.027439024390244038,0.04878048780487798,0.024390243902439046
ad,0.05,0.7,0.25762195121951215,0.05640243902439024,0.17987804878048785,0.05640243902439024,0.0625,0.060975609756097615,0.07012195121951204,0.024390243902439046
ad,0.05,0.6,0.24695121951219512,0.0777439024390244,0.20579268292682928,0.06859756097560976,0.0777439024390244,0.07926829268292679,0.07317073170731714,0.024390243902439046
ad,0.05,0.5,0.2621951219512195,0.10823170731707321,0.2042682926829268,0.050304878048780366,0.09908536585365857,0.07317073170731714,0.08841463414634143,0.024390243902439046
ad,0.05,0.4,0.27134146341463417,0.17835365853658536,0.23932926829268286,0.057926829268292845,0.1722560975609756,0.1417682926829268,0.1387195121951219,0.024390243902439046
ad,0.05,0.3,0.23170731707317072,0.17987804878048785,0.2027439024390244,0.057926829268292845,0.16310975609756095,0.11737804878048785,0.11737804878048785,0.024390243902439046
ad,0.05,0.2,0.2515243902439024,0.27439024390243905,0.23932926829268286,0.07469512195121963,0.26067073170731714,0.16768292682926833,0.17987804878048785,0.024390243902439046
ad,0.05,0.1,0.22560975609756095,0.35365853658536583,0.21036585365853655,0.07317073170731714,0.2835365853658537,0.23780487804878048,0.2332317073170732,0.024390243902439046
ad,0.05,0.0,0.24542682926829273,0.426829268292683,0.22865853658536583,0.10213414634146345,0.4192073170731707,0.19512195121951215,0.3871951219512195,0.024390243902439046
ad,0.1,1.0,0.14481707317073167,0.024390243902439046,0.038109756097560954,0.02591463414634143,0.01981707317073156,0.02286585365853655,0.03506097560975596,0.024390243902439046
ad,0.1,0.9,0.1585365853658537,0.02286585365853655,0.07164634146341464,0.038109756097560954,0.024390243902439046,0.027439024390244038,0.03658536585365857,0.024390243902439046
ad,0.1,0.8,0.1737804878048781,0.03506097560975596,0.09908536585365857,0.04573170731707321,0.03963414634146345,0.03658536585365857,0.044207317073170826,0.024390243902439046
ad,0.1,0.7,0.16158536585365857,0.06707317073170715,0.10213414634146345,0.038109756097560954,0.050304878048780366,0.03506097560975596,0.044207317073170826,0.024390243902439046
ad,0.1,0.6,0.18292682926829273,0.06859756097560976,0.11585365853658536,0.038109756097560954,0.05335365853658536,0.041158536585365835,0.05945121951219523,0.024390243902439046
ad,0.1,0.5,0.17835365853658536,0.1387195121951219,0.16463414634146345,0.054878048780487965,0.09756097560975596,0.07926829268292679,0.09298780487804881,0.024390243902439046
ad,0.1,0.4,0.14939024390243905,0.1722560975609756,0.13109756097560976,0.05182926829268286,0.1402439024390244,0.08689024390243905,0.08536585365853655,0.024390243902439046
ad,0.1,0.3,0.17987804878048785,0.19664634146341464,0.16158536585365857,0.05182926829268286,0.1585365853658537,0.09298780487804881,0.11128048780487809,0.024390243902439046
ad,0.1,0.2,0.16158536585365857,0.2637195121951219,0.1570121951219512,0.05945121951219523,0.22865853658536583,0.12652439024390238,0.14481707317073167,0.024390243902439046
ad,0.1,0.1,0.16006097560975607,0.3871951219512195,0.14786585365853655,0.07164634146341464,0.28658536585365857,0.12804878048780488,0.2972560975609756,0.024390243902439046
ad,0.1,0.0,0.16920731707317072,0.4390243902439024,0.1554878048780488,0.06554878048780477,0.35365853658536583,0.1737804878048781,0.30792682926829273,0.024390243902439046
ad,0.25,1.0,0.04573170731707321,0.030487804878048808,0.027439024390244038,0.02591463414634143,0.024390243902439046,0.02286585365853655,0.030487804878048808,0.024390243902439046
ad,0.25,0.9,0.05182926829268286,0.03353658536585358,0.027439024390244038,0.027439024390244038,0.02591463414634143,0.02286585365853655,0.027439024390244038,0.024390243902439046
ad,0.25,0.8,0.047256097560975596,0.04573170731707321,0.038109756097560954,0.027439024390244038,0.03201219512195119,0.02286585365853655,0.03506097560975596,0.024390243902439046
ad,0.25,0.7,0.050304878048780366,0.08231707317073156,0.041158536585365835,0.03658536585365857,0.04573170731707321,0.03506097560975596,0.04573170731707321,0.024390243902439046
ad,0.25,0.6,0.04268292682926844,0.12195121951219512,0.041158536585365835,0.03963414634146345,0.07621951219512202,0.030487804878048808,0.05335365853658536,0.024390243902439046
ad,0.25,0.5,0.047256097560975596,0.12957317073170727,0.041158536585365835,0.03963414634146345,0.07926829268292679,0.04268292682926844,0.05640243902439024,0.024390243902439046
ad,0.25,0.4,0.05182926829268286,0.14481707317073167,0.05182926829268286,0.03201219512195119,0.07317073170731714,0.02591463414634143,0.038109756097560954,0.024390243902439046
ad,0.25,0.3,0.050304878048780366,0.2347560975609756,0.047256097560975596,0.041158536585365835,0.12652439024390238,0.047256097560975596,0.09603658536585358,0.024390243902439046
ad,0.25,0.2,0.05335365853658536,0.30792682926829273,0.05335365853658536,0.024390243902439046,0.1570121951219512,0.054878048780487965,0.08384146341463417,0.024390243902439046
ad,0.25,0.1,0.04573170731707321,0.3917682926829268,0.054878048780487965,0.038109756097560954,0.22865853658536583,0.04268292682926844,0.1585365853658537,0.024390243902439046
ad,0.25,0.0,0.04878048780487798,0.4054878048780488,0.050304878048780366,0.03353658536585358,0.23780487804878048,0.050304878048780366,0.19817073170731714,0.024390243902439046
banknote,0.02,1.0,0.5563636363636363,0.09818181818181804,0.1527272727272727,0.021818181818181848,0.13454545454545452,0.10181818181818181,0.1527272727272727,0.07636363636363641
banknote,0.02,0.9,0.4545454545454546,0.07999999999999996,0.3418181818181818,0.30181818181818176,0.11636363636363634,0.17454545454545456,0.19999999999999996,0.07636363636363641
banknote,0.02,0.8,0.5854545454545454,0.12363636363636366,0.3090909090909091,0.07272727272727275,0.12,0.15636363636363637,0.18545454545454543,0.07636363636363641
banknote,0.02,0.7,0.3781818181818182,0.09090909090909083,0.17818181818181822,0.5563636363636363,0.09818181818181804,0.13818181818181818,0.18545454545454543,0.07636363636363641
banknote,0.02,0.6,0.7090909090909091,0.03272727272727283,0.4763636363636363,0.1636363636363637,0.18181818181818177,0.4363636363636364,0.20363636363636362,0.07636363636363641
