name,p,q,trusted,untrusted,irbl,irblc,mixed,glc,symetric,total
ad,0.02,1.0,0.28963414634146345,0.028963414634146423,0.054878048780487965,0.03353658536585358,0.024390243902439046,0.024390243902439046,0.03506097560975596,0.02286585365853655
ad,0.02,0.9,0.3140243902439024,0.03506097560975596,0.1585365853658537,0.04573170731707321,0.03353658536585358,0.027439024390244038,0.03963414634146345,0.02286585365853655
ad,0.02,0.8,0.33689024390243894,0.05640243902439024,0.19359756097560976,0.054878048780487965,0.050304878048780366,0.030487804878048808,0.04573170731707321,0.02286585365853655
ad,0.02,0.7,0.3140243902439024,0.07012195121951204,0.22256097560975607,0.047256097560975596,0.07926829268292679,0.03201219512195119,0.05640243902439024,0.02286585365853655
ad,0.02,0.6,0.3125,0.09603658536585358,0.27591463414634143,0.06707317073170715,0.09146341463414642,0.041158536585365835,0.057926829268292845,0.02286585365853655
ad,0.02,0.5,0.32317073170731714,0.1387195121951219,0.25457317073170727,0.05945121951219523,0.11585365853658536,0.11280487804878048,0.08231707317073156,0.02286585365853655
ad,0.02,0.4,0.36890243902439024,0.17835365853658536,0.8048780487804879,0.09298780487804881,0.16615853658536583,0.1097560975609756,0.11585365853658536,0.02286585365853655
ad,0.02,0.3,0.3460365853658537,0.24695121951219512,0.3003048780487805,0.11585365853658536,0.23932926829268286,0.25,0.1737804878048781,0.02286585365853655
ad,0.02,0.2,0.3140243902439024,0.30487804878048785,0.28963414634146345,0.07621951219512202,0.27591463414634143,0.24390243902439024,0.2530487804878049,0.02286585365853655
ad,0.02,0.1,0.32012195121951215,0.41463414634146345,0.3262195121951219,0.13262195121951215,0.43140243902439024,0.2987804878048781,0.3246951219512195,0.02286585365853655
ad,0.02,0.0,0.32164634146341464,0.4085365853658537,0.30792682926829273,0.10213414634146345,0.3719512195121951,0.3612804878048781,0.3932926829268293,0.02286585365853655
ad,0.05,1.0,0.25762195121951215,0.02591463414634143,0.04878048780487798,0.03353658536585358,0.02591463414634143,0.02286585365853655,0.03963414634146345,0.02286585365853655
ad,0.05,0.9,0.25609756097560976,0.03201219512195119,0.10213414634146345,0.05335365853658536,0.03963414634146345,0.03963414634146345,0.03963414634146345,0.02286585365853655
ad,0.05,0.8,0.25,0.04573170731707321,0.14329268292682928,0.041158536585365835,0.038109756097560954,0.027439024390244038,0.04573170731707321,0.02286585365853655
ad,0.05,0.7,0.2637195121951219,0.050304878048780366,0.19512195121951215,0.047256097560975596,0.041158536585365835,0.03201219512195119,0.038109756097560954,0.02286585365853655
ad,0.05,0.6,0.23932926829268286,0.08536585365853655,0.21493902439024393,0.05182926829268286,0.08689024390243905,0.04573170731707321,0.050304878048780366,0.02286585365853655
ad,0.05,0.5,0.2621951219512195,0.14786585365853655,0.21493902439024393,0.057926829268292845,0.1402439024390244,0.09908536585365857,0.08231707317073156,0.02286585365853655
ad,0.05,0.4,0.22560975609756095,0.14481707317073167,0.2027439024390244,0.060975609756097615,0.11585365853658536,0.11432926829268286,0.09298780487804881,0.02286585365853655
ad,0.05,0.3,0.24695121951219512,0.22408536585365857,0.24237804878048785,0.07317073170731714,0.21036585365853655,0.09756097560975596,0.1585365853658537,0.02286585365853655
ad,0.05,0.2,0.24542682926829273,0.30792682926829273,0.22408536585365857,0.0777439024390244,0.2804878048780488,0.19969512195121952,0.21493902439024393,0.02286585365853655
ad,0.05,0.1,0.23018292682926833,0.35518292682926833,0.11585365853658536,0.08993902439024404,0.29115853658536583,0.20579268292682928,0.2804878048780488,0.02286585365853655
ad,0.05,0.0,0.2332317073170732,0.45731707317073167,0.23018292682926833,0.0625,0.4039634146341463,0.2164634146341463,0.37957317073170727,0.02286585365853655
ad,0.1,1.0,0.18292682926829273,0.024390243902439046,0.8231707317073171,0.047256097560975596,0.02286585365853655,0.02591463414634143,0.03353658536585358,0.02286585365853655
ad,0.1,0.9,0.1737804878048781,0.030487804878048808,0.10823170731707321,0.03658536585365857,0.02591463414634143,0.028963414634146423,0.03963414634146345,0.02286585365853655
ad,0.1,0.8,0.1722560975609756,0.050304878048780366,0.13414634146341464,0.044207317073170826,0.04268292682926844,0.03506097560975596,0.04573170731707321,0.02286585365853655
ad,0.1,0.7,0.17682926829268286,0.0625,0.12042682926829273,0.041158536585365835,0.047256097560975596,0.030487804878048808,0.03963414634146345,0.02286585365853655
ad,0.1,0.6,0.1737804878048781,0.08993902439024404,0.15243902439024393,0.04878048780487798,0.07469512195121963,0.050304878048780366,0.057926829268292845,0.02286585365853655
ad,0.1,0.5,0.18445121951219512,0.11737804878048785,0.1554878048780488,0.07164634146341464,0.10060975609756095,0.041158536585365835,0.07317073170731714,0.02286585365853655
ad,0.1,0.4,0.1722560975609756,0.19054878048780488,0.1570121951219512,0.060975609756097615,0.1554878048780488,0.06402439024390238,0.09298780487804881,0.02286585365853655
ad,0.1,0.3,0.17835365853658536,0.18140243902439024,0.16310975609756095,0.054878048780487965,0.16615853658536583,0.08536585365853655,0.09603658536585358,0.02286585365853655
ad,0.1,0.2,0.16768292682926833,0.2789634146341463,0.1737804878048781,0.07012195121951204,0.22713414634146345,0.14939024390243905,0.19969512195121952,0.02286585365853655
ad,0.1,0.1,0.1707317073170732,0.36890243902439024,0.17835365853658536,0.06859756097560976,0.28658536585365857,0.13262195121951215,0.19817073170731714,0.02286585365853655
ad,0.1,0.0,0.1737804878048781,0.41615853658536583,0.1707317073170732,0.0777439024390244,0.3262195121951219,0.17835365853658536,0.33231707317073167,0.02286585365853655
